model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,0,0.0,0.03151862464183381,0.0,22.422349570200574,0.11353512702493962,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,1,0.027778,0.02693409742120344,0.01276278363972498,23.605730659025788,0.1036325051669468,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,2,0.055556,0.024641833810888254,0.01111216013161336,23.812607449856735,0.10058344216048294,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,3,0.083333,0.02177650429799427,0.006924381646759067,23.846991404011465,0.09803054889268051,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,4,0.111111,0.025787965616045842,0.0076884858825207675,24.12779369627507,0.10040408617518079,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,5,0.138889,0.017191977077363897,0.006277622435589297,24.26361031518625,0.09284892054345553,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,6,0.166667,0.02177650429799427,0.006432648802476691,23.825214899713465,0.09797638305043713,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,7,0.194444,0.022922636103151865,0.006277622435589296,23.92836676217765,0.09965876793197381,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,8,0.222222,0.022922636103151865,0.007471865220862635,23.694555873925502,0.09876278908789159,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,9,0.25,0.024068767908309457,0.008988187473557663,23.654441260744985,0.10184157900244888,5,False,1745,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
