model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,n_probe,chance,best_layer,best_top1,best_rel_depth,mean_top1,behavioral_acc,estimable,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,5315,0.02,32,0.8265286923800564,0.888889,0.2768960870560117,0.7119005328596802,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,6152,0.02,32,0.8585836090692345,0.888889,0.29612045522172126,0.7423329682365827,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k2,2,all,expected,0.1,1800,0.02,33,0.29888888888888887,0.916667,0.08423423423423423,0.2644444444444444,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k3,3,all,expected,0.1,1680,0.02,35,0.2589285714285714,0.972222,0.06529922779922778,0.2875,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k4,4,all,expected,0.1,1600,0.02,34,0.1575,0.944444,0.042094594594594595,0.144375,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k5,5,all,expected,0.1,1450,0.02,35,0.12000000000000002,0.972222,0.034165890027959,0.09310344827586207,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k6,6,all,expected,0.1,1400,0.02,36,0.10285714285714284,1.0,0.02795366795366796,0.04857142857142857,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k7,7,all,expected,0.1,1400,0.02,34,0.07428571428571429,0.944444,0.029034749034749036,0.02142857142857143,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k8,8,all,expected,0.1,1400,0.02,36,0.08357142857142857,1.0,0.02843629343629344,0.024285714285714285,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k9,9,all,expected,0.1,1400,0.02,34,0.06428571428571428,0.944444,0.030424710424710424,0.025,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
